Knight-Swift Transportation Holdings Quarterly Net Income (Millions of US $),Knight-Swift Transportation Holdings Quarterly Net Income (Millions of US $).1
2024-06-30,$20
2024-03-31,$-3
2023-12-31,$-11
2023-09-30,$60
2023-06-30,$63
2023-03-31,$104
2022-12-31,$149
2022-09-30,$195
2022-06-30,$219
2022-03-31,$208
2021-12-31,$255
2021-09-30,$206
2021-06-30,$153
2021-03-31,$130
2020-12-31,$142
2020-09-30,$122
2020-06-30,$80
2020-03-31,$65
2019-12-31,$67
2019-09-30,$75
2019-06-30,$79
2019-03-31,$88
2018-12-31,$152
2018-09-30,$106
2018-06-30,$91
2018-03-31,$70
2017-12-31,$448
2017-09-30,$4
2017-06-30,$18
2017-03-31,$15
2016-12-31,$22
2016-09-30,$24
2016-06-30,$43
2016-03-31,$32
2015-12-31,$73
2015-09-30,$36
2015-06-30,$51
2015-03-31,$38
2014-12-31,$58
2014-09-30,$50
2014-06-30,$40
2014-03-31,$12
2013-12-31,$45
2013-09-30,$30
2013-06-30,$50
2013-03-31,$30
2012-12-31,$67
2012-09-30,$34
2012-06-30,$34
2012-03-31,$6
2011-12-31,$49
2011-09-30,$31
2011-06-30,$20
2011-03-31,$3
2010-12-31,$-48
2010-09-30,$-1
2010-06-30,$-23
2010-03-31,$-53
2009-12-31,$-37
2009-09-30,$-4
2009-06-30,$-31
2009-03-31,$-44
