Lakeland Financial Quarterly Net Income (Millions of US $),Lakeland Financial Quarterly Net Income (Millions of US $).1
2024-06-30,$23
2024-03-31,$23
2023-12-31,$30
2023-09-30,$25
2023-06-30,$15
2023-03-31,$24
2022-12-31,$26
2022-09-30,$29
2022-06-30,$26
2022-03-31,$24
2021-12-31,$24
2021-09-30,$24
2021-06-30,$24
2021-03-31,$23
2020-12-31,$25
2020-09-30,$23
2020-06-30,$20
2020-03-31,$17
2019-12-31,$22
2019-09-30,$21
2019-06-30,$22
2019-03-31,$22
2018-12-31,$21
2018-09-30,$21
2018-06-30,$20
2018-03-31,$18
2017-12-31,$12
2017-09-30,$16
2017-06-30,$15
2017-03-31,$15
2016-12-31,$14
2016-09-30,$13
2016-06-30,$13
2016-03-31,$12
2015-12-31,$12
2015-09-30,$12
2015-06-30,$11
2015-03-31,$11
2014-12-31,$11
2014-09-30,$12
2014-06-30,$11
2014-03-31,$10
2013-12-31,$11
2013-09-30,$10
2013-06-30,$9
2013-03-31,$9
2012-12-31,$9
2012-09-30,$9
2012-06-30,$9
2012-03-31,$9
2011-12-31,$8
2011-09-30,$8
2011-06-30,$8
2011-03-31,$6
2010-12-31,$6
2010-09-30,$7
2010-06-30,$4
2010-03-31,$5
2009-12-31,$5
2009-09-30,$4
2009-06-30,$4
2009-03-31,$4
