Bank Of N.T Butterfield & Son Quarterly Net Income (Millions of US $),Bank Of N.T Butterfield & Son Quarterly Net Income (Millions of US $).1
2024-06-30,$51
2024-03-31,$53
2023-12-31,$54
2023-09-30,$49
2023-06-30,$61
2023-03-31,$62
2022-12-31,$63
2022-09-30,$57
2022-06-30,$49
2022-03-31,$44
2021-12-31,$42
2021-09-30,$40
2021-06-30,$40
2021-03-31,$42
2020-12-31,$42
2020-09-30,$31
2020-06-30,$34
2020-03-31,$40
2019-12-31,$44
2019-09-30,$42
2019-06-30,$39
2019-03-31,$52
2018-12-31,$51
2018-09-30,$50
2018-06-30,$50
2018-03-31,$44
2017-12-31,$40
2017-09-30,$41
2017-06-30,$36
2017-03-31,$36
2016-12-31,$-10
2016-09-30,$20
2016-06-30,$26
2016-03-31,$23
2015-12-31,
2015-09-30,$25
2014-12-31,
