H B Fuller Quarterly Net Income (Millions of US $),H B Fuller Quarterly Net Income (Millions of US $).1
2024-08-31,$55
2024-05-31,$51
2024-02-29,$31
2023-11-30,$45
2023-08-31,$38
2023-05-31,$40
2023-02-28,$22
2022-11-30,$48
2022-08-31,$46
2022-05-31,$47
2022-02-28,$38
2021-11-30,$51
2021-08-31,$32
2021-05-31,$49
2021-02-28,$30
2020-11-30,$41
2020-08-31,$42
2020-05-31,$32
2020-02-29,$10
2019-11-30,$32
2019-08-31,$50
2019-05-31,$37
2019-02-28,$12
2018-11-30,$41
2018-08-31,$38
2018-05-31,$44
2018-02-28,$48
2017-11-30,$-6
2017-08-31,$25
2017-05-31,$26
2017-02-28,$15
2016-11-30,$37
2016-08-31,$33
2016-05-31,$33
2016-02-29,$19
2015-11-30,$25
2015-08-31,$27
2015-05-31,$25
2015-02-28,$10
2014-11-30,$11
2014-08-31,$4
2014-05-31,$21
2014-02-28,$15
2013-11-30,$22
2013-08-31,$28
2013-05-31,$26
2013-02-28,$21
2012-11-30,$25
2012-08-31,$83
2012-05-31,$2
2012-02-29,$15
2011-11-30,$26
2011-08-31,$23
2011-05-31,$25
2011-02-28,$14
2010-11-30,$22
2010-08-31,$19
2010-05-31,$11
2010-02-28,$19
2009-11-30,$25
2009-08-31,$35
2009-05-31,$18
2009-02-28,$6
