Grupo Financiero Galicia S.A Quarterly Net Income (Millions of US $),Grupo Financiero Galicia S.A Quarterly Net Income (Millions of US $).1
2024-06-30,$450
2024-03-31,$307
2023-03-31,$94
2022-12-31,$199
2022-09-30,$83
2022-06-30,$44
2022-03-31,$49
2021-09-30,$97
2019-03-31,$231
2018-12-31,$-531
2018-09-30,$135
2018-06-30,$120
2018-03-31,$153
2017-09-30,$117
2017-06-30,$106
2016-06-30,$81
2016-03-31,$94
2015-12-31,$135
2015-09-30,$120
2015-06-30,$98
2015-03-31,$102
2014-12-31,$109
2014-09-30,$113
2014-06-30,$86
2014-03-31,$103
2013-12-31,$115
2013-09-30,$90
2013-06-30,$69
2013-03-31,$60
2012-12-31,$74
2012-09-30,$72
2012-06-30,$74
2012-03-31,$65
2011-12-31,$75
2011-09-30,$66
2011-06-30,$61
2011-03-31,$57
2010-12-31,$48
2010-09-30,$31
2010-06-30,$12
2010-03-31,$13
2009-12-31,$13
2009-09-30,$12
2009-06-30,$10
2009-03-31,$26
