W.P Carey Quarterly Net Income (Millions of US $),W.P Carey Quarterly Net Income (Millions of US $).1
2024-06-30,$143
2024-03-31,$159
2023-12-31,$144
2023-09-30,$125
2023-06-30,$145
2023-03-31,$294
2022-12-31,$210
2022-09-30,$105
2022-06-30,$128
2022-03-31,$157
2021-12-31,$100
2021-09-30,$139
2021-06-30,$120
2021-03-31,$52
2020-12-31,$134
2020-09-30,$149
2020-06-30,$105
2020-03-31,$67
2019-12-31,$129
2019-09-30,$41
2019-06-30,$66
2019-03-31,$68
2018-12-31,$193
2018-09-30,$77
2018-06-30,$76
2018-03-31,$65
2017-12-31,$75
2017-09-30,$80
2017-06-30,$64
2017-03-31,$57
2016-12-31,$48
2016-09-30,$111
2016-06-30,$52
2016-03-31,$57
2015-12-31,$51
2015-09-30,$22
2015-06-30,$63
2015-03-31,$36
2014-12-31,$32
2014-09-30,$27
2014-06-30,$65
2014-03-31,$115
2013-12-31,$23
2013-09-30,$19
2013-06-30,$43
2013-03-31,$14
2012-12-31,$15
2012-09-30,$3
2012-06-30,$32
2012-03-31,$12
2011-12-31,$7
2011-09-30,$25
2011-06-30,$81
2011-03-31,$23
2010-12-31,$19
2010-09-30,$16
2010-06-30,$23
2010-03-31,$14
2009-12-31,$23
2009-09-30,$13
2009-06-30,$15
2009-03-31,$18
