Patterson Quarterly Net Income (Millions of US $),Patterson Quarterly Net Income (Millions of US $).1
2024-07-31,$14
2024-04-30,$67
2024-01-31,$48
2023-10-31,$40
2023-07-31,$31
2023-04-30,$75
2023-01-31,$54
2022-10-31,$54
2022-07-31,$25
2022-04-30,$64
2022-01-31,$57
2021-10-31,$48
2021-07-31,$34
2021-04-30,$29
2021-01-31,$49
2020-10-31,$54
2020-07-31,$24
2020-04-30,$-609
2020-01-31,$23
2019-10-31,$-33
2019-07-31,$30
2019-04-30,$28
2019-01-31,$31
2018-10-31,$29
2018-07-31,$-4
2018-04-30,$21
2018-01-31,$109
2017-10-31,$40
2017-07-31,$31
2017-04-30,$62
2017-01-31,$25
2016-10-31,$46
2016-07-31,$39
2016-04-30,$66
2016-01-31,$56
2015-10-31,$35
2015-07-31,$30
2015-04-30,$65
2015-01-31,$55
2014-10-31,$54
2014-07-31,$50
2014-04-30,$56
2014-01-31,$57
2013-10-31,$42
2013-07-31,$46
2013-04-30,$64
2013-01-31,$54
2012-10-31,$46
2012-07-31,$48
2012-04-30,$62
2012-01-31,$53
2011-10-31,$49
2011-07-31,$49
2011-04-30,$63
2011-01-31,$55
2010-10-31,$53
2010-07-31,$54
2010-04-30,$62
2010-01-31,$56
2009-10-31,$49
2009-07-31,$45
2009-04-30,$54
2009-01-31,$53
