Moody's Quarterly Net Income (Millions of US $),Moody's Quarterly Net Income (Millions of US $).1
2024-06-30,$552
2024-03-31,$577
2023-12-31,$340
2023-09-30,$389
2023-06-30,$377
2023-03-31,$501
2022-12-31,$246
2022-09-30,$303
2022-06-30,$327
2022-03-31,$498
2021-12-31,$427
2021-09-30,$474
2021-06-30,$577
2021-03-31,$736
2020-12-31,$314
2020-09-30,$467
2020-06-30,$509
2020-03-31,$488
2019-12-31,$359
2019-09-30,$380
2019-06-30,$310
2019-03-31,$373
2018-12-31,$251
2018-09-30,$310
2018-06-30,$376
2018-03-31,$373
2017-12-31,$26
2017-09-30,$317
2017-06-30,$312
2017-03-31,$346
2016-12-31,$-429
2016-09-30,$255
2016-06-30,$256
2016-03-31,$184
2015-12-31,$218
2015-09-30,$232
2015-06-30,$262
2015-03-31,$230
2014-12-31,$236
2014-09-30,$215
2014-06-30,$319
2014-03-31,$218
2013-12-31,$207
2013-09-30,$184
2013-06-30,$226
2013-03-31,$188
2012-12-31,$160
2012-09-30,$184
2012-06-30,$173
2012-03-31,$174
2011-12-31,$96
2011-09-30,$131
2011-06-30,$189
2011-03-31,$156
2010-12-31,$137
2010-09-30,$136
2010-06-30,$121
2010-03-31,$113
2009-12-31,$102
2009-09-30,$101
2009-06-30,$109
2009-03-31,$90
