Telefonica Brasil S.A Quarterly Net Income (Millions of US $),Telefonica Brasil S.A Quarterly Net Income (Millions of US $).1
2024-06-30,$234
2024-03-31,$181
2023-09-30,$301
2023-06-30,$227
2022-12-31,$217
2022-09-30,$275
2022-06-30,$155
2022-03-31,$145
2021-09-30,$252
2020-12-31,$232
2020-09-30,$225
2020-06-30,$208
2020-03-31,$261
2019-12-31,$305
2019-09-30,$244
2019-06-30,$362
2019-03-31,$356
2018-12-31,$416
2018-09-30,$807
2018-06-30,$881
2018-03-31,$339
2017-12-31,$468
2017-09-30,$387
2017-06-30,$272
2017-03-31,$317
2016-12-31,$364
2016-09-30,$294
2016-06-30,$200
2016-03-31,$313
2015-12-31,$304
2015-09-30,$253
2015-06-30,$283
2015-03-31,$204
2014-12-31,$464
2014-09-30,$451
2014-06-30,$894
2014-03-31,$299
2013-12-31,$409
2013-09-30,$331
2013-06-30,$410
2013-03-31,$402
2012-12-31,$717
2012-09-30,$462
2012-06-30,$531
2012-03-31,$542
2011-12-31,$815
2011-09-30,$821
2011-06-30,$718
2011-03-31,$251
2010-12-31,$342
2010-09-30,$379
2010-06-30,$390
2010-03-31,$226
2009-12-31,$309
2009-09-30,$351
2009-06-30,$289
2009-03-31,$234
