Vertiv Holdings Quarterly Net Income (Millions of US $),Vertiv Holdings Quarterly Net Income (Millions of US $).1
2024-06-30,$178
2024-03-31,$-6
2023-12-31,$233
2023-09-30,$94
2023-06-30,$83
2023-03-31,$50
2022-12-31,$27
2022-09-30,$21
2022-06-30,$20
2022-03-31,$9
2021-12-31,$22
2021-09-30,$56
2021-06-30,$10
2021-03-31,$32
2020-12-31,$41
2020-09-30,$-104
2020-06-30,$-56
2020-03-31,$-208
2019-12-31,$-34
2019-09-30,$-14
2019-06-30,$-19
2019-03-31,$-74
2018-12-31,$-317
2018-09-30,$2
2018-06-30,$0
2018-03-31,$-0
2017-12-31,
2017-09-30,
2017-06-30,
2016-12-31,
