Aramark Quarterly Net Income (Millions of US $),Aramark Quarterly Net Income (Millions of US $).1
2024-06-30,$58
2024-03-31,$53
2023-12-31,$29
2023-09-30,$205
2023-06-30,$338
2023-03-31,$56
2022-12-31,$74
2022-09-30,$76
2022-06-30,$40
2022-03-31,$36
2021-12-31,$43
2021-09-30,$35
2021-06-30,$33
2021-03-31,$-78
2020-12-31,$-81
2020-09-30,$-149
2020-06-30,$-256
2020-03-31,$-202
2019-12-31,$146
2019-09-30,$86
2019-06-30,$83
2019-03-31,$29
2018-12-31,$251
2018-09-30,$175
2018-06-30,$73
2018-03-31,$28
2017-12-31,$292
2017-09-30,$113
2017-06-30,$65
2017-03-31,$70
2016-12-31,$125
2016-09-30,$83
2016-06-30,$45
2016-03-31,$66
2015-12-31,$93
2015-09-30,$57
2015-06-30,$34
2015-03-31,$60
2014-12-31,$85
2014-09-30,$44
2014-06-30,$47
2014-03-31,$13
2013-12-31,$45
2013-09-30,$39
2013-06-30,$28
2013-03-31,$-40
2012-12-31,$43
2012-09-30,
2011-09-30,
