NVR Quarterly Net Income (Millions of US $),NVR Quarterly Net Income (Millions of US $).1
2024-06-30,$401
2024-03-31,$394
2023-12-31,$410
2023-09-30,$433
2023-06-30,$404
2023-03-31,$344
2022-12-31,$455
2022-09-30,$411
2022-06-30,$433
2022-03-31,$426
2021-12-31,$335
2021-09-30,$332
2021-06-30,$321
2021-03-31,$249
2020-12-31,$305
2020-09-30,$256
2020-06-30,$164
2020-03-31,$176
2019-12-31,$256
2019-09-30,$224
2019-06-30,$210
2019-03-31,$188
2018-12-31,$232
2018-09-30,$196
2018-06-30,$203
2018-03-31,$166
2017-12-31,$125
2017-09-30,$162
2017-06-30,$148
2017-03-31,$103
2016-12-31,$151
2016-09-30,$117
2016-06-30,$92
2016-03-31,$65
2015-12-31,$134
2015-09-30,$116
2015-06-30,$93
2015-03-31,$39
2014-12-31,$99
2014-09-30,$90
2014-06-30,$68
2014-03-31,$24
2013-12-31,$98
2013-09-30,$83
2013-06-30,$51
2013-03-31,$35
2012-12-31,$61
2012-09-30,$53
2012-06-30,$47
2012-03-31,$20
2011-12-31,$32
2011-09-30,$43
2011-06-30,$38
2011-03-31,$15
2010-12-31,$59
2010-09-30,$44
2010-06-30,$71
2010-03-31,$32
2009-12-31,$61
2009-09-30,$72
2009-06-30,$41
2009-03-31,$18
