MGM Resorts Quarterly Net Income (Millions of US $),MGM Resorts Quarterly Net Income (Millions of US $).1
2024-06-30,$187
2024-03-31,$217
2023-12-31,$313
2023-09-30,$161
2023-06-30,$201
2023-03-31,$467
2022-12-31,$284
2022-09-30,$-577
2022-06-30,"$1,784"
2022-03-31,$-18
2021-12-31,$168
2021-09-30,"$1,350"
2021-06-30,$68
2021-03-31,$-332
2020-12-31,$-480
2020-09-30,$-535
2020-06-30,$-825
2020-03-31,$807
2019-12-31,"$2,012"
2019-09-30,$-37
2019-06-30,$43
2019-03-31,$31
2018-12-31,$-39
2018-09-30,$143
2018-06-30,$118
2018-03-31,$223
2017-12-31,"$1,369"
2017-09-30,$148
2017-06-30,$210
2017-03-31,$206
2016-12-31,$24
2016-09-30,$536
2016-06-30,$474
2016-03-31,$67
2015-12-31,$-781
2015-09-30,$66
2015-06-30,$97
2015-03-31,$170
2014-12-31,$-342
2014-09-30,$-20
2014-06-30,$110
2014-03-31,$103
2013-12-31,$-63
2013-09-30,$-22
2013-06-30,$-93
2013-03-31,$7
2012-12-31,"$-1,224"
2012-09-30,$-181
2012-06-30,$-145
2012-03-31,$-217
2011-12-31,$-114
2011-09-30,$-124
2011-06-30,"$3,442"
2011-03-31,$-90
2010-12-31,$-139
2010-09-30,$-318
2010-06-30,$-883
2010-03-31,$-97
2009-12-31,$-434
2009-09-30,$-750
2009-06-30,$-213
2009-03-31,$105
