Aercap Holdings Quarterly Net Income (Millions of US $),Aercap Holdings Quarterly Net Income (Millions of US $).1
2024-06-30,$448
2024-03-31,$604
2023-12-31,"$1,106"
2023-09-30,"$1,105"
2023-06-30,$493
2023-03-31,$432
2022-12-31,$495
2022-09-30,$440
2022-06-30,$340
2022-03-31,"$-2,001"
2021-12-31,$89
2021-09-30,$434
2021-06-30,$250
2021-03-31,$228
2020-12-31,$28
2020-09-30,$-850
2020-06-30,$246
2020-03-31,$277
2019-12-31,$310
2019-09-30,$270
2019-06-30,$331
2019-03-31,$234
2018-12-31,$233
2018-09-30,$263
2018-06-30,$254
2018-03-31,$265
2017-12-31,$266
2017-09-30,$266
2017-06-30,$283
2017-03-31,$261
2016-12-31,$365
2016-09-30,$226
2016-06-30,$233
2016-03-31,$223
2015-12-31,$264
2015-09-30,$294
2015-06-30,$309
2015-03-31,$311
2014-12-31,$298
2014-09-30,$341
2014-06-30,$138
2014-03-31,$55
2013-12-31,$66
2013-09-30,$84
2013-06-30,$76
2013-03-31,$67
2012-12-31,$11
2012-09-30,$58
2012-06-30,$30
2012-03-31,$65
2011-12-31,$76
2011-09-30,$-7
2011-06-30,$31
2011-03-31,$72
2010-12-31,$72
2010-09-30,$52
2010-06-30,$49
2010-03-31,$34
2009-12-31,$43
2009-09-30,$35
2009-06-30,$57
2009-03-31,$30
