AllianceBernstein Holding Quarterly Net Income (Millions of US $),AllianceBernstein Holding Quarterly Net Income (Millions of US $).1
2024-06-30,$114
2024-03-31,$77
2023-12-31,$79
2023-09-30,$57
2023-06-30,$61
2023-03-31,$67
2022-12-31,$64
2022-09-30,$56
2022-06-30,$68
2022-03-31,$86
2021-12-31,$125
2021-09-30,$89
2021-06-30,$91
2021-03-31,$81
2020-12-31,$93
2020-09-30,$67
2020-06-30,$57
2020-03-31,$62
2019-12-31,$80
2019-09-30,$60
2019-06-30,$52
2019-03-31,$46
2018-12-31,$60
2018-09-30,$66
2018-06-30,$58
2018-03-31,$58
2017-12-31,$79
2017-09-30,$43
2017-06-30,$42
2017-03-31,$44
2016-12-31,$73
2016-09-30,$50
2016-06-30,$39
2016-03-31,$55
2015-12-31,$50
2015-09-30,$42
2015-06-30,$48
2015-03-31,$46
2014-12-31,$55
2014-09-30,$44
2014-06-30,$43
2014-03-31,$36
2013-12-31,$57
2013-09-30,$30
2013-06-30,$40
2013-03-31,$38
2012-12-31,$26
2012-09-30,$-23
2012-06-30,$21
2012-03-31,$27
2011-12-31,$-199
2011-09-30,$27
2011-06-30,$36
2011-03-31,$44
2010-12-31,$43
2010-09-30,$12
2010-06-30,$32
2010-03-31,$47
2009-12-31,$60
2009-09-30,$63
2009-06-30,$38
2009-03-31,$7
