Apartment Investment And Management Quarterly Net Income (Millions of US $),Apartment Investment And Management Quarterly Net Income (Millions of US $).1
2024-06-30,$-61
2024-03-31,$-10
2023-12-31,$-152
2023-09-30,$-2
2023-06-30,$-4
2023-03-31,$-9
2022-12-31,$-201
2022-09-30,$29
2022-06-30,$239
2022-03-31,$8
2021-12-31,$-1
2021-09-30,$-5
2021-06-30,$-20
2021-03-31,$20
2020-12-31,$-15
2020-09-30,$2
2020-06-30,$3
2020-03-31,$4
2019-12-31,$-333
2019-09-30,$2
2019-06-30,$59
2019-03-31,$272
2018-12-31,$-648
2018-09-30,$567
2018-06-30,$3
2018-03-31,$82
2017-12-31,$262
2017-09-30,$17
2017-06-30,$16
2017-03-31,$11
2016-12-31,$162
2016-09-30,$11
2016-06-30,$221
2016-03-31,$23
2015-12-31,$67
2015-09-30,$19
2015-06-30,$61
2015-03-31,$89
2014-12-31,$36
2014-09-30,$125
2014-06-30,$75
2014-03-31,$64
2013-12-31,$122
2013-09-30,$66
2013-06-30,$10
2013-03-31,$5
2012-12-31,$68
2012-09-30,$24
2012-06-30,$1
2012-03-31,$-11
2011-12-31,$-23
2011-09-30,$-15
2011-06-30,$-33
2011-03-31,$-32
2010-12-31,$-38
2010-09-30,$-29
2010-06-30,$-18
2010-03-31,$-40
2009-12-31,$-7
2009-09-30,$-40
2009-06-30,$-30
2009-03-31,$-38
