Sealed Air Quarterly Net Income (Millions of US $),Sealed Air Quarterly Net Income (Millions of US $).1
2024-06-30,$98
2024-03-31,$82
2023-12-31,$124
2023-09-30,$57
2023-06-30,$99
2023-03-31,$62
2022-12-31,$94
2022-09-30,$134
2022-06-30,$114
2022-03-31,$149
2021-12-31,$181
2021-09-30,$108
2021-06-30,$108
2021-03-31,$110
2020-12-31,$142
2020-09-30,$134
2020-06-30,$100
2020-03-31,$127
2019-12-31,$104
2019-09-30,$68
2019-06-30,$33
2019-03-31,$58
2018-12-31,$200
2018-09-30,$79
2018-06-30,$114
2018-03-31,$-201
2017-12-31,$-34
2017-09-30,$788
2017-06-30,$104
2017-03-31,$-43
2016-12-31,$171
2016-09-30,$163
2016-06-30,$50
2016-03-31,$102
2015-12-31,$124
2015-09-30,$87
2015-06-30,$28
2015-03-31,$97
2014-12-31,$66
2014-09-30,$61
2014-06-30,$60
2014-03-31,$71
2013-12-31,$29
2013-09-30,$38
2013-06-30,$56
2013-03-31,$3
2012-12-31,$-159
2012-09-30,"$-1,232"
2012-06-30,$-14
2012-03-31,$-6
2011-12-31,$-49
2011-09-30,$74
2011-06-30,$65
2011-03-31,$60
2010-12-31,$-30
2010-09-30,$77
2010-06-30,$67
2010-03-31,$61
2009-12-31,$65
2009-09-30,$61
2009-06-30,$61
2009-03-31,$58
