Pathward Financial Quarterly Net Income (Millions of US $),Pathward Financial Quarterly Net Income (Millions of US $).1
2024-06-30,$41
2024-03-31,$65
2023-12-31,$28
2023-09-30,$35
2023-06-30,$44
2023-03-31,$54
2022-12-31,$28
2022-09-30,$23
2022-06-30,$22
2022-03-31,$48
2021-12-31,$60
2021-09-30,$16
2021-06-30,$38
2021-03-31,$58
2020-12-31,$27
2020-09-30,$12
2020-06-30,$18
2020-03-31,$51
2019-12-31,$21
2019-09-30,$18
2019-06-30,$29
2019-03-31,$32
2018-12-31,$15
2018-09-30,$9
2018-06-30,$7
2018-03-31,$31
2017-12-31,$5
2017-09-30,$2
2017-06-30,$10
2017-03-31,$32
2016-12-31,$1
2016-09-30,$6
2016-06-30,$9
2016-03-31,$14
2015-12-31,$4
2015-09-30,$5
2015-06-30,$5
2015-03-31,$5
2014-12-31,$4
2014-09-30,$3
2014-06-30,$4
2014-03-31,$4
2013-12-31,$4
2013-09-30,$3
2013-06-30,$4
2013-03-31,$3
2012-12-31,$3
2012-09-30,$2
2012-06-30,$2
2012-03-31,$10
2011-12-31,$3
2011-09-30,$2
2011-06-30,$-1
2011-03-31,$3
2010-12-31,$1
2010-09-30,$2
2010-06-30,$4
2010-03-31,$5
2009-12-31,$1
2009-09-30,$-1
2009-06-30,$-3
2009-03-31,$1
