Atlassian Quarterly Net Income (Millions of US $),Atlassian Quarterly Net Income (Millions of US $).1
2024-06-30,$-197
2024-03-31,$13
2023-12-31,$-84
2023-09-30,$-32
2023-06-30,$-59
2023-03-31,$-209
2022-12-31,$-205
2022-09-30,$-14
2022-06-30,$-91
2022-03-31,$5
2021-12-31,$-22
2021-09-30,$-411
2021-06-30,$-213
2021-03-31,$160
2020-12-31,$-622
2020-09-30,$-22
2020-06-30,$-385
2020-03-31,$-159
2019-12-31,$124
2019-09-30,$69
2019-06-30,$-238
2019-03-31,$-203
2018-12-31,$45
2018-09-30,$-242
2018-06-30,$-22
2018-03-31,$-16
2017-12-31,$-64
2017-09-30,$-11
2017-06-30,$-21
2017-03-31,$-17
2016-12-31,$-2
2016-09-30,$-3
2016-06-30,$-5
2016-03-31,$-1
2015-12-31,$5
2015-09-30,$5
2015-06-30,$-1
2015-03-31,$-1
2014-12-31,$5
2014-09-30,$4
2014-06-30,
2013-06-30,
