Companhia Paranaense De Energia (COPEL) Quarterly Net Income (Millions of US $),Companhia Paranaense De Energia (COPEL) Quarterly Net Income (Millions of US $).1
2024-06-30,$90
2024-03-31,$107
2023-12-31,$179
2023-09-30,$89
2023-06-30,$64
2023-03-31,$121
2022-12-31,$128
2022-09-30,$69
2022-06-30,$-109
2022-03-31,$127
2021-12-31,$59
2021-09-30,$541
2021-06-30,$179
2021-03-31,$138
2020-12-31,$217
2020-09-30,$125
2020-06-30,$300
2020-03-31,$116
2019-12-31,$139
2019-09-30,$144
2019-06-30,$89
2019-03-31,$132
2018-12-31,$96
2018-09-30,$90
2018-06-30,$97
2018-03-31,$102
2017-12-31,$28
2017-09-30,$121
2017-06-30,$44
2017-03-31,$131
2016-12-31,$-16
2016-09-30,$-27
2016-06-30,$284
2016-03-31,$34
2015-12-31,$105
2015-09-30,$25
2015-06-30,$90
2015-03-31,$143
2014-12-31,$73
2014-09-30,$85
2014-06-30,$93
2014-03-31,$242
2013-12-31,$76
2013-09-30,$118
2013-06-30,$104
2013-03-31,$197
2012-12-31,$-52
2012-09-30,$152
2012-06-30,$91
2012-03-31,$158
2011-12-31,$101
2011-09-30,$211
2011-06-30,$159
2011-03-31,$234
2010-12-31,$89
2010-09-30,$181
2010-06-30,$204
2010-03-31,$126
2009-12-31,$99
2009-09-30,$163
2009-06-30,$158
2009-03-31,$130
