First Citizens BancShares Quarterly Net Income (Millions of US $),First Citizens BancShares Quarterly Net Income (Millions of US $).1
2024-06-30,$691
2024-03-31,$716
2023-12-31,$499
2023-09-30,$737
2023-06-30,$667
2023-03-31,"$9,504"
2022-12-31,$243
2022-09-30,$303
2022-06-30,$238
2022-03-31,$264
2021-12-31,$119
2021-09-30,$119
2021-06-30,$148
2021-03-31,$143
2020-12-31,$134
2020-09-30,$138
2020-06-30,$149
2020-03-31,$57
2019-12-31,$102
2019-09-30,$125
2019-06-30,$119
2019-03-31,$111
2018-12-31,$89
2018-09-30,$117
2018-06-30,$93
2018-03-31,$100
2017-12-31,$54
2017-09-30,$67
2017-06-30,$135
2017-03-31,$68
2016-12-31,$53
2016-09-30,$51
2016-06-30,$69
2016-03-31,$52
2015-12-31,$43
2015-09-30,$56
2015-06-30,$45
2015-03-31,$67
2014-12-31,$63
2014-09-30,$27
2014-06-30,$27
2014-03-31,$22
2013-12-31,$26
2013-09-30,$41
2013-06-30,$44
2013-03-31,$56
2012-12-31,$20
2012-09-30,$40
2012-06-30,$38
2012-03-31,$35
2011-12-31,$31
2011-09-30,$81
2011-06-30,$21
2011-03-31,$62
2010-12-31,$30
2010-09-30,$28
2010-06-30,$29
2010-03-31,$107
2009-12-31,$19
2009-09-30,$82
2009-06-30,$6
2009-03-31,$9
