TORM Quarterly Net Income (Millions of US $),TORM Quarterly Net Income (Millions of US $).1
2024-06-30,$195
2024-03-31,$210
2023-12-31,$185
2023-09-30,$124
2023-06-30,$186
2023-03-31,$154
2022-12-31,$229
2022-09-30,$217
2022-06-30,$107
2022-03-31,$10
2021-12-31,$-8
2021-09-30,$-15
2021-06-30,$2
2021-03-31,$-21
2020-12-31,$-40
2020-09-30,$1
2020-06-30,$71
2020-03-31,$56
2019-12-31,$147
2019-09-30,$-9
2019-06-30,$5
2019-03-31,$23
2018-12-31,$-2
2018-09-30,$-25
2018-06-30,$-9
2018-03-31,$1
2017-12-31,$4
2017-09-30,$-4
2017-06-30,$-2
2017-03-31,$5
2016-12-31,
2016-06-30,$15
2015-12-31,
