ASE Technology Holding Quarterly Net Income (Millions of US $),ASE Technology Holding Quarterly Net Income (Millions of US $).1
2024-06-30,$240
2024-03-31,$181
2023-12-31,$437
2023-09-30,$277
2023-06-30,$252
2023-03-31,$191
2022-12-31,$422
2022-09-30,$575
2022-06-30,$544
2022-03-31,$461
2021-12-31,$984
2021-09-30,$509
2021-06-30,$370
2021-03-31,$305
2020-12-31,$370
2020-09-30,$229
2020-06-30,$232
2020-03-31,$129
2019-12-31,$233
2019-09-30,$184
2019-06-30,$87
2019-03-31,$66
2018-12-31,$196
2018-09-30,$204
2018-06-30,$385
2018-03-31,$72
2017-12-31,$275
2017-09-30,$210
2017-06-30,$260
2017-03-31,$82
2016-12-31,$215
2016-09-30,$174
2016-06-30,$145
2016-03-31,$126
2015-12-31,$143
2015-09-30,$199
2015-06-30,$118
2015-03-31,$142
2014-12-31,$249
2014-09-30,$235
2014-06-30,$170
2014-03-31,$113
2013-12-31,$212
2013-09-30,$151
2013-06-30,$128
2013-03-31,$76
2012-12-31,$151
2012-09-30,$115
2012-06-30,$106
2012-03-31,$70
2011-12-31,$87
2011-09-30,$120
2011-06-30,$126
2011-03-31,$138
2010-12-31,$169
2010-09-30,$178
2010-06-30,$143
2010-03-31,$106
2009-12-31,$107
2009-09-30,$99
2009-06-30,$50
2009-03-31,$-46
