Aptiv Quarterly Net Income (Millions of US $),Aptiv Quarterly Net Income (Millions of US $).1
2024-06-30,$938
2024-03-31,$218
2023-12-31,$905
2023-09-30,"$1,629"
2023-06-30,$229
2023-03-31,$146
2022-12-31,$233
2022-09-30,$286
2022-06-30,$-61
2022-03-31,$73
2021-12-31,$15
2021-09-30,$86
2021-06-30,$147
2021-03-31,$279
2020-12-31,$283
2020-09-30,$283
2020-06-30,$-369
2020-03-31,"$1,572"
2019-12-31,$230
2019-09-30,$246
2019-06-30,$274
2019-03-31,$240
2018-12-31,$247
2018-09-30,$222
2018-06-30,$291
2018-03-31,$307
2017-12-31,$256
2017-09-30,$395
2017-06-30,$369
2017-03-31,$335
2016-12-31,$281
2016-09-30,$293
2016-06-30,$258
2016-03-31,$425
2015-12-31,$192
2015-09-30,$404
2015-06-30,$645
2015-03-31,$209
2014-12-31,$344
2014-09-30,$305
2014-06-30,$382
2014-03-31,$320
2013-12-31,$298
2013-09-30,$271
2013-06-30,$367
2013-03-31,$276
2012-12-31,$136
2012-09-30,$269
2012-06-30,$330
2012-03-31,$342
2011-12-31,$290
2011-09-30,$266
2011-06-30,$298
2011-03-31,$291
2010-12-31,
2009-12-31,
