IDEAYA Biosciences Quarterly Net Income (Millions of US $),IDEAYA Biosciences Quarterly Net Income (Millions of US $).1
2024-06-30,$-53
2024-03-31,$-40
2023-12-31,$-34
2023-09-30,$-27
2023-06-30,$-28
2023-03-31,$-24
2022-12-31,$-24
2022-09-30,$2
2022-06-30,$-22
2022-03-31,$-14
2021-12-31,$-18
2021-09-30,$-12
2021-06-30,$-11
2021-03-31,$-9
2020-12-31,$-5
2020-09-30,$-5
2020-06-30,$-12
2020-03-31,$-12
2019-12-31,$-11
2019-09-30,$-11
2019-06-30,$-11
2019-03-31,$-10
2018-12-31,
2018-09-30,$-13
2018-06-30,$-7
2017-12-31,
