Phillips 66 Quarterly Net Income (Millions of US $),Phillips 66 Quarterly Net Income (Millions of US $).1
2024-06-30,"$1,015"
2024-03-31,$748
2023-12-31,"$1,260"
2023-09-30,"$2,097"
2023-06-30,"$1,697"
2023-03-31,"$1,961"
2022-12-31,"$1,884"
2022-09-30,"$5,391"
2022-06-30,"$3,167"
2022-03-31,$582
2021-12-31,"$1,273"
2021-09-30,$402
2021-06-30,$296
2021-03-31,$-654
2020-12-31,$-539
2020-09-30,$-799
2020-06-30,$-141
2020-03-31,"$-2,496"
2019-12-31,$736
2019-09-30,$712
2019-06-30,"$1,424"
2019-03-31,$204
2018-12-31,"$2,240"
2018-09-30,"$1,492"
2018-06-30,"$1,339"
2018-03-31,$524
2017-12-31,"$3,198"
2017-09-30,$823
2017-06-30,$550
2017-03-31,$535
2016-12-31,$163
2016-09-30,$511
2016-06-30,$496
2016-03-31,$385
2015-12-31,$650
2015-09-30,"$1,578"
2015-06-30,"$1,012"
2015-03-31,$987
2014-12-31,"$1,147"
2014-09-30,"$1,180"
2014-06-30,$863
2014-03-31,"$1,572"
2013-12-31,$826
2013-09-30,$535
2013-06-30,$958
2013-03-31,"$1,407"
2012-12-31,$709
2012-09-30,"$1,598"
2012-06-30,"$1,181"
2012-03-31,$636
2011-12-31,"$2,011"
2011-09-30,"$1,049"
2011-06-30,"$1,039"
2011-03-31,$676
2010-12-31,
2009-12-31,
