Opera Quarterly Net Income (Millions of US $),Opera Quarterly Net Income (Millions of US $).1
2024-06-30,$19
2024-03-31,$15
2023-12-31,$107
2023-09-30,$17
2023-06-30,$14
2023-03-31,$15
2022-12-31,$21
2022-09-30,$9
2022-06-30,$-6
2022-03-31,$-9
2021-12-31,$-112
2021-09-30,$24
2021-06-30,$44
2021-03-31,$1
2020-12-31,$159
2020-09-30,$24
2020-06-30,$17
2020-03-31,$-21
2019-12-31,$22
2019-09-30,$28
2019-06-30,$3
2019-03-31,$4
2018-12-31,$11
2018-09-30,$10
2018-06-30,$7
2018-03-31,$7
2017-12-31,
2017-09-30,$8
2017-06-30,$-3
