PulteGroup Quarterly Net Income (Millions of US $),PulteGroup Quarterly Net Income (Millions of US $).1
2024-06-30,$809
2024-03-31,$663
2023-12-31,$708
2023-09-30,$637
2023-06-30,$718
2023-03-31,$530
2022-12-31,$877
2022-09-30,$624
2022-06-30,$649
2022-03-31,$451
2021-12-31,$655
2021-09-30,$472
2021-06-30,$499
2021-03-31,$304
2020-12-31,$434
2020-09-30,$413
2020-06-30,$346
2020-03-31,$202
2019-12-31,$332
2019-09-30,$270
2019-06-30,$239
2019-03-31,$165
2018-12-31,$233
2018-09-30,$286
2018-06-30,$321
2018-03-31,$171
2017-12-31,$77
2017-09-30,$176
2017-06-30,$100
2017-03-31,$91
2016-12-31,$271
2016-09-30,$127
2016-06-30,$117
2016-03-31,$83
2015-12-31,$225
2015-09-30,$108
2015-06-30,$103
2015-03-31,$55
2014-12-31,$218
2014-09-30,$141
2014-06-30,$42
2014-03-31,$74
2013-12-31,$216
2013-09-30,"$2,266"
2013-06-30,$36
2013-03-31,$82
2012-12-31,$59
2012-09-30,$117
2012-06-30,$42
2012-03-31,$-12
2011-12-31,$14
2011-09-30,$-129
2011-06-30,$-55
2011-03-31,$-40
2010-12-31,$-165
2010-09-30,$-995
2010-06-30,$76
2010-03-31,$-12
2009-12-31,$-117
2009-09-30,$-361
2009-06-30,$-189
2009-03-31,$-515
