Air Transport Services Quarterly Net Income (Millions of US $),Air Transport Services Quarterly Net Income (Millions of US $).1
2024-06-30,$7
2024-03-31,$9
2023-12-31,$-15
2023-09-30,$17
2023-06-30,$38
2023-03-31,$20
2022-12-31,$43
2022-09-30,$51
2022-06-30,$55
2022-03-31,$50
2021-12-31,$45
2021-09-30,$65
2021-06-30,$80
2021-03-31,$42
2020-12-31,$5
2020-09-30,$-6
2020-06-30,$-105
2020-03-31,$138
2019-12-31,$-40
2019-09-30,$105
2019-06-30,$-27
2019-03-31,$23
2018-12-31,$-4
2018-09-30,$33
2018-06-30,$25
2018-03-31,$16
2017-12-31,$95
2017-09-30,$-33
2017-06-30,$-54
2017-03-31,$10
2016-12-31,$2
2016-09-30,$2
2016-06-30,$12
2016-03-31,$8
2015-12-31,$15
2015-09-30,$7
2015-06-30,$11
2015-03-31,$9
2014-12-31,$4
2014-09-30,$10
2014-06-30,$10
2014-03-31,$7
2013-12-31,$-43
2013-09-30,$8
2013-06-30,$7
2013-03-31,$9
2012-12-31,$12
2012-09-30,$11
2012-06-30,$11
2012-03-31,$6
2011-12-31,$13
2011-09-30,$-5
2011-06-30,$12
2011-03-31,$3
2010-12-31,$12
2010-09-30,$11
2010-06-30,$10
2010-03-31,$7
2009-12-31,$12
2009-09-30,$4
2009-06-30,$8
2009-03-31,$11
