NetEase Quarterly Net Income (Millions of US $),NetEase Quarterly Net Income (Millions of US $).1
2024-06-30,$930
2024-03-31,"$1,057"
2023-12-31,$949
2023-09-30,"$1,074"
2023-06-30,"$1,137"
2023-03-31,$984
2022-12-31,$524
2022-09-30,$942
2022-06-30,$790
2022-03-31,$693
2021-12-31,$925
2021-09-30,$494
2021-06-30,$549
2021-03-31,$678
2020-12-31,$263
2020-09-30,$442
2020-06-30,$642
2020-03-31,$501
2019-12-31,$467
2019-09-30,"$1,781"
2019-06-30,$447
2019-03-31,$355
2018-12-31,$224
2018-09-30,$232
2018-06-30,$318
2018-03-31,$120
2017-12-31,$258
2017-09-30,$380
2017-06-30,$438
2017-03-31,$570
2016-12-31,$470
2016-09-30,$411
2016-06-30,$409
2016-03-31,$382
2015-12-31,$310
2015-09-30,$296
2015-06-30,$230
2015-03-31,$204
2014-12-31,$205
2014-09-30,$189
2014-06-30,$194
2014-03-31,$181
2013-12-31,$204
2013-09-30,$171
2013-06-30,$178
2013-03-31,$171
2012-12-31,$162
2012-09-30,$129
2012-06-30,$135
2012-03-31,$150
2011-12-31,$143
2011-09-30,$129
2011-06-30,$120
2011-03-31,$113
2010-12-31,$108
2010-09-30,$87
2010-06-30,$72
2010-03-31,$66
2009-12-31,$84
2009-09-30,$58
2009-06-30,$69
2009-03-31,$61
