PagerDuty Quarterly Net Income (Millions of US $),PagerDuty Quarterly Net Income (Millions of US $).1
2024-07-31,$-13
2024-04-30,$-24
2024-01-31,$-31
2023-10-31,$-15
2023-07-31,$-24
2023-04-30,$-12
2023-01-31,$-25
2022-10-31,$-33
2022-07-31,$-38
2022-04-30,$-33
2022-01-31,$-29
2021-10-31,$-26
2021-07-31,$-30
2021-04-30,$-23
2021-01-31,$-22
2020-10-31,$-21
2020-07-31,$-15
2020-04-30,$-11
2020-01-31,$-10
2019-10-31,$-15
2019-07-31,$-13
2019-04-30,$-12
2019-01-31,$-6
2018-10-31,$-15
2018-07-31,$-13
2018-04-30,$-7
2018-01-31,
