Enerpac Tool Group Quarterly Net Income (Millions of US $),Enerpac Tool Group Quarterly Net Income (Millions of US $).1
2024-08-31,$24
2024-05-31,$26
2024-02-29,$18
2023-11-30,$18
2023-08-31,$22
2023-05-31,$12
2023-02-28,$4
2022-11-30,$7
2022-08-31,$10
2022-05-31,$2
2022-02-28,$1
2021-11-30,$3
2021-08-31,$5
2021-05-31,$25
2021-02-28,$3
2020-11-30,$5
2020-08-31,$1
2020-05-31,$-5
2020-02-29,$2
2019-11-30,$2
2019-08-31,$-267
2019-05-31,$32
2019-02-28,$3
2018-11-30,$-17
2018-08-31,$-38
2018-05-31,$29
2018-02-28,$-18
2017-11-30,$5
2017-08-31,$-99
2017-05-31,$23
2017-02-28,$5
2016-11-30,$5
2016-08-31,$17
2016-05-31,$21
2016-02-29,$-159
2015-11-30,$15
2015-08-31,$22
2015-05-31,$38
2015-02-28,$-65
2014-11-30,$25
2014-08-31,$36
2014-05-31,$51
2014-02-28,$41
2013-11-30,$36
2013-08-31,$58
2013-05-31,$-93
2013-02-28,$28
2012-11-30,$36
2012-08-31,$-16
2012-05-31,$34
2012-02-29,$32
2011-11-30,$37
2011-08-31,$41
2011-05-31,$36
2011-02-28,$8
2010-11-30,$26
2010-08-31,$-17
2010-05-31,$22
2010-02-28,$7
2009-11-30,$12
2009-08-31,$17
2009-05-31,$-18
2009-02-28,$3
