Ingevity Quarterly Net Income (Millions of US $),Ingevity Quarterly Net Income (Millions of US $).1
2024-06-30,$-284
2024-03-31,$-56
2023-12-31,$-111
2023-09-30,$25
2023-06-30,$36
2023-03-31,$51
2022-12-31,
2022-09-30,$75
2022-06-30,$60
2022-03-31,$61
2021-12-31,$-89
2021-09-30,$-4
2021-06-30,$44
2021-03-31,$49
2020-12-31,$46
2020-09-30,$70
2020-06-30,$20
2020-03-31,$45
2019-12-31,$44
2019-09-30,$60
2019-06-30,$57
2019-03-31,$23
2018-12-31,$42
2018-09-30,$50
2018-06-30,$47
2018-03-31,$31
2017-12-31,$42
2017-09-30,$34
2017-06-30,$32
2017-03-31,$19
2016-12-31,$9
2016-09-30,$-7
2016-06-30,$24
2016-03-31,$9
2015-12-31,$7
2015-09-30,$23
2015-06-30,$26
2015-03-31,$23
2014-12-31,
2013-12-31,
