First Horizon Quarterly Net Income (Millions of US $),First Horizon Quarterly Net Income (Millions of US $).1
2024-09-30,$213
2024-06-30,$184
2024-03-31,$184
2023-12-31,$176
2023-09-30,$129
2023-06-30,$317
2023-03-31,$243
2022-12-31,$258
2022-09-30,$257
2022-06-30,$166
2022-03-31,$187
2021-12-31,$218
2021-09-30,$224
2021-06-30,$295
2021-03-31,$225
2020-12-31,$235
2020-09-30,$523
2020-06-30,$52
2020-03-31,$12
2019-12-31,$117
2019-09-30,$110
2019-06-30,$109
2019-03-31,$99
2018-12-31,$97
2018-09-30,$270
2018-06-30,$82
2018-03-31,$91
2017-12-31,$-53
2017-09-30,$67
2017-06-30,$91
2017-03-31,$54
2016-12-31,$53
2016-09-30,$63
2016-06-30,$57
2016-03-31,$48
2015-12-31,$47
2015-09-30,$59
2015-06-30,$51
2015-03-31,$-77
2014-12-31,$47
2014-09-30,$46
2014-06-30,$78
2014-03-31,$46
2013-12-31,$47
2013-09-30,$-107
2013-06-30,$41
2013-03-31,$41
2012-12-31,$41
2012-09-30,$26
2012-06-30,$-125
2012-03-31,$31
2011-12-31,$35
2011-09-30,$36
2011-06-30,$20
2011-03-31,$40
2010-12-31,$-49
2010-09-30,$16
2010-06-30,$3
2010-03-31,$-28
2009-12-31,$-71
2009-09-30,$-53
2009-06-30,$-123
2009-03-31,$-83
