NBT Bancorp Quarterly Net Income (Millions of US $),NBT Bancorp Quarterly Net Income (Millions of US $).1
2024-06-30,$33
2024-03-31,$34
2023-12-31,$30
2023-09-30,$25
2023-06-30,$30
2023-03-31,$34
2022-12-31,$36
2022-09-30,$39
2022-06-30,$38
2022-03-31,$39
2021-12-31,$37
2021-09-30,$37
2021-06-30,$40
2021-03-31,$40
2020-12-31,$34
2020-09-30,$35
2020-06-30,$25
2020-03-31,$10
2019-12-31,$29
2019-09-30,$32
2019-06-30,$31
2019-03-31,$29
2018-12-31,$29
2018-09-30,$30
2018-06-30,$28
2018-03-31,$26
2017-12-31,$18
2017-09-30,$23
2017-06-30,$21
2017-03-31,$20
2016-12-31,$20
2016-09-30,$20
2016-06-30,$20
2016-03-31,$19
2015-12-31,$19
2015-09-30,$20
2015-06-30,$19
2015-03-31,$18
2014-12-31,$19
2014-09-30,$11
2014-06-30,$28
2014-03-31,$18
2013-12-31,$18
2013-09-30,$19
2013-06-30,$17
2013-03-31,$8
2012-12-31,$13
2012-09-30,$15
2012-06-30,$13
2012-03-31,$14
2011-12-31,$14
2011-09-30,$15
2011-06-30,$15
2011-03-31,$14
2010-12-31,$14
2010-09-30,$15
2010-06-30,$14
2010-03-31,$14
2009-12-31,$14
2009-09-30,$14
2009-06-30,$12
2009-03-31,$13
