Establishment Labs Holdings Quarterly Net Income (Millions of US $),Establishment Labs Holdings Quarterly Net Income (Millions of US $).1
2024-06-30,$-17
2024-03-31,$-16
2023-12-31,$-21
2023-09-30,$-29
2023-06-30,$-17
2023-03-31,$-12
2022-12-31,$-14
2022-09-30,$-19
2022-06-30,$-37
2022-03-31,$-6
2021-12-31,$-14
2021-09-30,$-15
2021-06-30,$-5
2021-03-31,$-7
2020-12-31,$-6
2020-09-30,$-4
2020-06-30,$-10
2020-03-31,$-18
2019-12-31,$-6
2019-09-30,$-13
2019-06-30,$-9
2019-03-31,$-11
2018-12-31,$-11
2018-09-30,$1
2018-06-30,$-5
2018-03-31,$-7
2017-12-31,$-7
2017-09-30,$-11
2017-06-30,$-12
2017-03-31,$-5
2016-12-31,
