American Eagle Outfitters Quarterly Net Income (Millions of US $),American Eagle Outfitters Quarterly Net Income (Millions of US $).1
2024-07-31,$77
2024-04-30,$68
2024-01-31,$6
2023-10-31,$97
2023-07-31,$49
2023-04-30,$18
2023-01-31,$55
2022-10-31,$81
2022-07-31,$-42
2022-04-30,$32
2022-01-31,$50
2021-10-31,$152
2021-07-31,$122
2021-04-30,$95
2021-01-31,$4
2020-10-31,$58
2020-07-31,$-14
2020-04-30,$-257
2020-01-31,$5
2019-10-31,$81
2019-07-31,$65
2019-04-30,$41
2019-01-31,$76
2018-10-31,$85
2018-07-31,$60
2018-04-30,$40
2018-01-31,$94
2017-10-31,$64
2017-07-31,$21
2017-04-30,$25
2017-01-31,$55
2016-10-31,$76
2016-07-31,$42
2016-04-30,$40
2016-01-31,$82
2015-10-31,$74
2015-07-31,$33
2015-04-30,$29
2015-01-31,$62
2014-10-31,$9
2014-07-31,$6
2014-04-30,$4
2014-01-31,$11
2013-10-31,$25
2013-07-31,$20
2013-04-30,$28
2013-01-31,$95
2012-10-31,$79
2012-07-31,$19
2012-04-30,$40
2012-01-31,$51
2011-10-31,$52
2011-07-31,$20
2011-04-30,$28
2011-01-31,$87
2010-10-31,$33
2010-07-31,$10
2010-04-30,$11
2010-01-31,$59
2009-10-31,$59
2009-07-31,$29
2009-04-30,$22
2009-01-31,$33
