Baytex Energy Corp Quarterly Net Income (Millions of US $),Baytex Energy Corp Quarterly Net Income (Millions of US $).1
2024-06-30,$76
2024-03-31,$-10
2023-12-31,$-465
2023-09-30,$95
2023-06-30,$159
2023-03-31,$38
2022-12-31,$268
2022-09-30,$203
2022-06-30,$142
2022-03-31,$45
2021-12-31,$432
2021-09-30,$26
2021-06-30,$857
2021-03-31,$-28
2020-12-31,$160
2020-09-30,$-18
2020-06-30,$-100
2020-03-31,"$-1,863"
2019-12-31,$-88
2019-09-30,$11
2019-06-30,$59
2019-03-31,$9
2018-12-31,$-177
2018-09-30,$21
2018-06-30,$-46
2018-03-31,$-50
2017-12-31,$59
2017-09-30,$-7
2017-06-30,$7
2017-03-31,$8
2016-12-31,$-269
2016-09-30,$-30
2016-06-30,$-67
2016-03-31,$0
2015-12-31,$-257
2015-09-30,$-396
2015-06-30,$-22
2015-03-31,$-214
2014-12-31,$-290
2014-09-30,$129
2014-06-30,$34
2014-03-31,$44
2013-12-31,$28
2013-09-30,$84
2013-06-30,$35
2013-03-31,$10
2012-12-31,$31
2012-09-30,$27
2012-06-30,$159
2012-03-31,$43
2011-12-31,$58
2011-09-30,$51
2011-06-30,$109
2011-03-31,$1
2010-12-31,$59
2010-09-30,$35
2010-06-30,$32
2010-03-31,$45
2009-12-31,$26
2009-09-30,$37
2009-06-30,$25
2009-03-31,$-7
