Microchip Technology Quarterly Net Income (Millions of US $),Microchip Technology Quarterly Net Income (Millions of US $).1
2024-06-30,$129
2024-03-31,$155
2023-12-31,$419
2023-09-30,$667
2023-06-30,$666
2023-03-31,$604
2022-12-31,$580
2022-09-30,$546
2022-06-30,$507
2022-03-31,$438
2021-12-31,$353
2021-09-30,$242
2021-06-30,$253
2021-03-31,$116
2020-12-31,$36
2020-09-30,$74
2020-06-30,$124
2020-03-31,$100
2019-12-31,$311
2019-09-30,$109
2019-06-30,$51
2019-03-31,$175
2018-12-31,$49
2018-09-30,$96
2018-06-30,$36
2018-03-31,$147
2017-12-31,$-251
2017-09-30,$189
2017-06-30,$171
2017-03-31,$137
2016-12-31,$107
2016-09-30,$34
2016-06-30,$-113
2016-03-31,$67
2015-12-31,$61
2015-09-30,$65
2015-06-30,$131
2015-03-31,$99
2014-12-31,$86
2014-09-30,$94
2014-06-30,$90
2014-03-31,$111
2013-12-31,$105
2013-09-30,$100
2013-06-30,$79
2013-03-31,$60
2012-12-31,$10
2012-09-30,$-21
2012-06-30,$79
2012-03-31,$81
2011-12-31,$77
2011-09-30,$79
2011-06-30,$99
2011-03-31,$126
2010-12-31,$101
2010-09-30,$103
2010-06-30,$90
2010-03-31,$76
2009-12-31,$69
2009-09-30,$44
2009-06-30,$27
2009-03-31,$22
