Benchmark Electronics Quarterly Net Income (Millions of US $),Benchmark Electronics Quarterly Net Income (Millions of US $).1
2024-06-30,$16
2024-03-31,$14
2023-12-31,$18
2023-09-30,$20
2023-06-30,$14
2023-03-31,$12
2022-12-31,$21
2022-09-30,$19
2022-06-30,$17
2022-03-31,$11
2021-12-31,$12
2021-09-30,$8
2021-06-30,$7
2021-03-31,$8
2020-12-31,$8
2020-09-30,$6
2020-06-30,$-3
2020-03-31,$4
2019-12-31,$-7
2019-09-30,$7
2019-06-30,$9
2019-03-31,$14
2018-12-31,$28
2018-09-30,$8
2018-06-30,$11
2018-03-31,$-24
2017-12-31,$-76
2017-09-30,$18
2017-06-30,$18
2017-03-31,$9
2016-12-31,$18
2016-09-30,$22
2016-06-30,$13
2016-03-31,$11
2015-12-31,$39
2015-09-30,$21
2015-06-30,$21
2015-03-31,$14
2014-12-31,$23
2014-09-30,$17
2014-06-30,$22
2014-03-31,$19
2013-12-31,$67
2013-09-30,$24
2013-06-30,$8
2013-03-31,$11
2012-12-31,$18
2012-09-30,$19
2012-06-30,$14
2012-03-31,$6
2011-12-31,$3
2011-09-30,$20
2011-06-30,$15
2011-03-31,$15
2010-12-31,$19
2010-09-30,$22
2010-06-30,$20
2010-03-31,$18
2009-12-31,$16
2009-09-30,$16
2009-06-30,$12
2009-03-31,$9
