Cognex Quarterly Net Income (Millions of US $),Cognex Quarterly Net Income (Millions of US $).1
2024-06-30,$36
2024-03-31,$12
2023-12-31,$11
2023-09-30,$19
2023-06-30,$57
2023-03-31,$26
2022-12-31,$55
2022-09-30,$34
2022-06-30,$59
2022-03-31,$67
2021-12-31,$54
2021-09-30,$79
2021-06-30,$78
2021-03-31,$70
2020-12-31,$69
2020-09-30,$88
2020-06-30,$-1
2020-03-31,$20
2019-12-31,$80
2019-09-30,$42
2019-06-30,$49
2019-03-31,$33
2018-12-31,$45
2018-09-30,$80
2018-06-30,$56
2018-03-31,$37
2017-12-31,$-28
2017-09-30,$102
2017-06-30,$56
2017-03-31,$45
2016-12-31,$32
2016-09-30,$54
2016-06-30,$43
2016-03-31,$15
2015-12-31,$19
2015-09-30,$104
2015-06-30,$44
2015-03-31,$21
2014-12-31,$27
2014-09-30,$50
2014-06-30,$26
2014-03-31,$19
2013-12-31,$20
2013-09-30,$21
2013-06-30,$17
2013-03-31,$16
2012-12-31,$16
2012-09-30,$18
2012-06-30,$20
2012-03-31,$14
2011-12-31,$19
2011-09-30,$18
2011-06-30,$19
2011-03-31,$14
2010-12-31,$20
2010-09-30,$18
2010-06-30,$15
2010-03-31,$9
2009-12-31,$0
2009-09-30,$5
2009-06-30,$-6
2009-03-31,$-3
