Merchants Bancorp Quarterly Net Income (Millions of US $),Merchants Bancorp Quarterly Net Income (Millions of US $).1
2024-06-30,$67
2024-03-31,$78
2023-12-31,$69
2023-09-30,$73
2023-06-30,$57
2023-03-31,$46
2022-12-31,$48
2022-09-30,$53
2022-06-30,$48
2022-03-31,$44
2021-12-31,$49
2021-09-30,$53
2021-06-30,$46
2021-03-31,$58
2020-12-31,$56
2020-09-30,$51
2020-06-30,$38
2020-03-31,$21
2019-12-31,$26
2019-09-30,$17
2019-06-30,$15
2019-03-31,$10
2018-12-31,$15
2018-09-30,$16
2018-06-30,$15
2018-03-31,$14
2017-12-31,$19
2017-09-30,$10
2017-06-30,$14
2017-03-31,$8
2016-12-31,
2016-09-30,$11
2015-12-31,
