Hyster-Yale Quarterly Net Income (Millions of US $),Hyster-Yale Quarterly Net Income (Millions of US $).1
2024-06-30,$63
2024-03-31,$52
2023-12-31,$25
2023-09-30,$36
2023-06-30,$38
2023-03-31,$27
2022-12-31,$8
2022-09-30,$-37
2022-06-30,$-19
2022-03-31,$-25
2021-12-31,$-103
2021-09-30,$-77
2021-06-30,$2
2021-03-31,$6
2020-12-31,$13
2020-09-30,$5
2020-06-30,$4
2020-03-31,$15
2019-12-31,$3
2019-09-30,$13
2019-06-30,$16
2019-03-31,$3
2018-12-31,$-1
2018-09-30,$15
2018-06-30,$6
2018-03-31,$15
2017-12-31,$-2
2017-09-30,$17
2017-06-30,$16
2017-03-31,$18
2016-12-31,$12
2016-09-30,$12
2016-06-30,$8
2016-03-31,$10
2015-12-31,$17
2015-09-30,$21
2015-06-30,$23
2015-03-31,$14
2014-12-31,$26
2014-09-30,$28
2014-06-30,$33
2014-03-31,$22
2013-12-31,$26
2013-09-30,$24
2013-06-30,$36
2013-03-31,$25
2012-12-31,$32
2012-09-30,$25
2012-06-30,$20
2012-03-31,$21
2011-09-30,$18
