Gentherm Inc Quarterly Net Income (Millions of US $),Gentherm Inc Quarterly Net Income (Millions of US $).1
2024-06-30,$19
2024-03-31,$15
2023-12-31,$18
2023-09-30,$16
2023-06-30,$-2
2023-03-31,$8
2022-12-31,$-4
2022-09-30,$10
2022-06-30,$7
2022-03-31,$12
2021-12-31,$20
2021-09-30,$16
2021-06-30,$25
2021-03-31,$33
2020-12-31,$34
2020-09-30,$24
2020-06-30,$-10
2020-03-31,$12
2019-12-31,$22
2019-09-30,$16
2019-06-30,$3
2019-03-31,$8
2018-12-31,$13
2018-09-30,$-0
2018-06-30,$17
2018-03-31,$13
2017-12-31,$-5
2017-09-30,$7
2017-06-30,$9
2017-03-31,$25
2016-12-31,$26
2016-09-30,$20
2016-06-30,$18
2016-03-31,$12
2015-12-31,$28
2015-09-30,$28
2015-06-30,$19
2015-03-31,$20
2014-12-31,$20
2014-09-30,$17
2014-06-30,$16
2014-03-31,$17
2013-12-31,$11
2013-09-30,$9
2013-06-30,$5
2013-03-31,$8
2012-12-31,$3
2012-09-30,$2
2012-06-30,$4
2012-03-31,$3
2011-12-31,$5
2011-09-30,$-2
2011-06-30,$-2
2011-03-31,$-1
2010-12-31,$3
2010-09-30,$3
2010-06-30,$2
2010-03-31,$2
2009-12-31,$1
2009-09-30,$1
2009-06-30,$-1
2009-03-31,$-1
