American Noble Gas Quarterly Net Income (Millions of US $),American Noble Gas Quarterly Net Income (Millions of US $).1
2024-06-30,$763
2024-03-31,$959
2023-12-31,$733
2023-09-30,$751
2023-06-30,$724
2023-03-31,$744
2022-12-31,$800
2022-09-30,$748
2022-06-30,$689
2022-03-31,$752
2021-12-31,$774
2021-09-30,$733
2021-06-30,$704
2021-03-31,$697
2020-12-31,$705
2020-09-30,$653
2020-06-30,$558
2020-03-31,$590
2019-12-31,$626
2019-09-30,$569
2019-06-30,$546
2019-03-31,$582
2018-12-31,$502
2018-09-30,$581
2018-06-30,$534
2018-03-31,$571
2017-12-31,$796
2017-09-30,$578
2017-06-30,$541
2017-03-31,$543
2016-12-31,$547
2016-09-30,$539
2016-06-30,$511
2016-03-31,$533
2015-12-31,$524
2015-09-30,$519
2015-06-30,$476
2015-03-31,$498
2014-12-31,$522
2014-09-30,$511
2014-06-30,$482
2014-03-31,$487
2013-12-31,$463
2013-09-30,$383
2013-06-30,$418
2013-03-31,$444
2012-12-31,$434
2012-09-30,$431
2012-06-30,$416
2012-03-31,$463
2011-12-31,$458
2011-09-30,$411
2011-06-30,$384
2011-03-31,$402
2010-12-31,$397
2010-09-30,$374
2010-06-30,$326
2010-03-31,$349
2009-12-31,$334
2009-09-30,$317
2009-06-30,$313
2009-03-31,$321
