Fluor Quarterly Net Income (Millions of US $),Fluor Quarterly Net Income (Millions of US $).1
2024-06-30,$169
2024-03-31,$59
2023-12-31,$-20
2023-09-30,$169
2023-06-30,$51
2023-03-31,$-117
2022-12-31,
2022-09-30,$12
2022-06-30,$56
2022-03-31,$38
2021-12-31,$-288
2021-09-30,$31
2021-06-30,$-120
2021-03-31,$-87
2020-12-31,$-163
2020-09-30,$19
2020-06-30,$-25
2020-03-31,$-266
2019-12-31,$-296
2019-09-30,$-743
2019-06-30,$-414
2019-03-31,$-69
2018-12-31,$-1
2018-09-30,$77
2018-06-30,$115
2018-03-31,$-18
2017-12-31,$23
2017-09-30,$94
2017-06-30,$-24
2017-03-31,$61
2016-12-31,$70
2016-09-30,$5
2016-06-30,$102
2016-03-31,$104
2015-12-31,$-51
2015-09-30,$171
2015-06-30,$149
2015-03-31,$144
2014-12-31,$215
2014-09-30,$70
2014-06-30,$78
2014-03-31,$149
2013-12-31,$167
2013-09-30,$173
2013-06-30,$161
2013-03-31,$166
2012-12-31,$-4
2012-09-30,$145
2012-06-30,$161
2012-03-31,$155
2011-12-31,$153
2011-09-30,$135
2011-06-30,$165
2011-03-31,$140
2010-12-31,$117
2010-09-30,$-54
2010-06-30,$157
2010-03-31,$137
2009-12-31,$149
2009-09-30,$162
2009-06-30,$169
2009-03-31,$205
