Celldex Therapeutics Quarterly Net Income (Millions of US $),Celldex Therapeutics Quarterly Net Income (Millions of US $).1
2024-06-30,$-36
2024-03-31,$-33
2023-12-31,$-43
2023-09-30,$-38
2023-06-30,$-31
2023-03-31,$-29
2022-12-31,$-26
2022-09-30,$-27
2022-06-30,$-36
2022-03-31,$-23
2021-12-31,$-20
2021-09-30,$-20
2021-06-30,$-13
2021-03-31,$-17
2020-12-31,$-22
2020-09-30,$-14
2020-06-30,$-11
2020-03-31,$-13
2019-12-31,$-10
2019-09-30,$-11
2019-06-30,$-12
2019-03-31,$-17
2018-12-31,$-9
2018-09-30,$-7
2018-06-30,$-16
2018-03-31,$-118
2017-12-31,$-4
2017-09-30,$-26
2017-06-30,$-29
2017-03-31,$-34
2016-12-31,$-32
2016-09-30,$-30
2016-06-30,$-32
2016-03-31,$-35
2015-12-31,$-33
2015-09-30,$-32
2015-06-30,$-32
2015-03-31,$-30
2014-12-31,$-32
2014-09-30,$-28
2014-06-30,$-28
2014-03-31,$-30
2013-12-31,$-22
2013-09-30,$-23
2013-06-30,$-19
2013-03-31,$-17
2012-12-31,$-17
2012-09-30,$-15
2012-06-30,$-14
2012-03-31,$-14
2011-12-31,$-13
2011-09-30,$-12
2011-06-30,$-10
2011-03-31,$-10
2010-12-31,$23
2010-09-30,$-9
2010-06-30,$-10
2010-03-31,$-7
2009-12-31,$-13
2009-09-30,$-7
2009-06-30,$-9
2009-03-31,$-8
