Elanco Animal Health Quarterly Net Income (Millions of US $),Elanco Animal Health Quarterly Net Income (Millions of US $).1
2024-06-30,$-50
2024-03-31,$32
2023-12-31,$-141
2023-09-30,"$-1,096"
2023-06-30,$-97
2023-03-31,$103
2022-12-31,$-54
2022-09-30,$-65
2022-06-30,$-10
2022-03-31,$51
2021-12-31,$-108
2021-09-30,$-104
2021-06-30,$-210
2021-03-31,$-61
2020-12-31,$-337
2020-09-30,$-135
2020-06-30,$-53
2020-03-31,$-49
2019-12-31,$-9
2019-09-30,$10
2019-06-30,$36
2019-03-31,$32
2018-12-31,$16
2018-09-30,$60
2018-06-30,$-63
2018-03-31,$73
2017-12-31,
2017-09-30,$-21
2016-12-31,
2015-12-31,
