Novavax Quarterly Net Income (Millions of US $),Novavax Quarterly Net Income (Millions of US $).1
2024-06-30,$162
2024-03-31,$-148
2023-12-31,$-178
2023-09-30,$-131
2023-06-30,$58
2023-03-31,$-294
2022-12-31,$-182
2022-09-30,$-169
2022-06-30,$-510
2022-03-31,$203
2021-12-31,$-846
2021-09-30,$-322
2021-06-30,$-352
2021-03-31,$-223
2020-12-31,$-178
2020-09-30,$-197
2020-06-30,$-18
2020-03-31,$-26
2019-12-31,$-32
2019-09-30,$-18
2019-06-30,$-40
2019-03-31,$-43
2018-12-31,$-49
2018-09-30,$-45
2018-06-30,$-44
2018-03-31,$-46
2017-12-31,$-51
2017-09-30,$-45
2017-06-30,$-44
2017-03-31,$-44
2016-12-31,$-57
2016-09-30,$-66
2016-06-30,$-79
2016-03-31,$-77
2015-12-31,$-79
2015-09-30,$-33
2015-06-30,$-21
2015-03-31,$-24
2014-12-31,$-32
2014-09-30,$-20
2014-06-30,$-18
2014-03-31,$-14
2013-12-31,$-14
2013-09-30,$-15
2013-06-30,$-13
2013-03-31,$-10
2012-12-31,$-8
2012-09-30,$-7
2012-06-30,$-6
2012-03-31,$-7
2011-12-31,$-4
2011-09-30,$-3
2011-06-30,$-5
2011-03-31,$-7
2010-12-31,$-6
2010-09-30,$-10
2010-06-30,$-9
2010-03-31,$-10
2009-12-31,$-16
2009-09-30,$-8
2009-06-30,$-9
2009-03-31,$-8
