Dave & Buster's Entertainment Quarterly Net Income (Millions of US $),Dave & Buster's Entertainment Quarterly Net Income (Millions of US $).1
2024-07-31,$40
2024-04-30,$41
2024-01-31,$36
2023-10-31,$-5
2023-07-31,$26
2023-04-30,$70
2023-01-31,$39
2022-10-31,$2
2022-07-31,$29
2022-04-30,$67
2022-01-31,$26
2021-10-31,$11
2021-07-31,$53
2021-04-30,$20
2021-01-31,$-57
2020-10-31,$-48
2020-07-31,$-59
2020-04-30,$-44
2020-01-31,$25
2019-10-31,$0
2019-07-31,$32
2019-04-30,$42
2019-01-31,$29
2018-10-31,$12
2018-07-31,$34
2018-04-30,$42
2018-01-31,$36
2017-10-31,$12
2017-07-31,$30
2017-04-30,$43
2017-01-31,$27
2016-10-31,$11
2016-07-31,$22
2016-04-30,$31
2016-01-31,$23
2015-10-31,$5
2015-07-31,$13
2015-04-30,$20
2015-01-31,$15
2014-10-31,$-5
2014-07-31,$-14
2014-04-30,$11
2014-01-31,
2013-10-31,$-10
2013-01-31,
2012-01-31,
