"Grupo Aeroportuario Del Pacifico, S.A De C.V Quarterly Net Income (Millions of US $)","Grupo Aeroportuario Del Pacifico, S.A De C.V Quarterly Net Income (Millions of US $).1"
2023-12-31,$121
2023-09-30,$139
2023-06-30,$141
2023-03-31,$137
2022-12-31,$85
2022-09-30,$132
2022-06-30,$118
2022-03-31,$114
2021-12-31,$-902
2021-09-30,$89
2021-06-30,$71
2021-03-31,"$1,038"
2020-12-31,$10
2020-09-30,$16
2020-06-30,$-25
2020-03-31,$91
2019-12-31,$70
2019-09-30,$70
2019-06-30,$66
2019-03-31,$73
2018-12-31,$55
2018-09-30,$70
2018-06-30,$61
2018-03-31,$76
2017-12-31,$52
2017-09-30,$64
2017-06-30,$54
2017-03-31,$77
2016-12-31,$13
2016-09-30,$52
2016-06-30,$51
2016-03-31,$60
2015-12-31,$59
2015-09-30,$55
2015-06-30,$41
2015-03-31,$43
2014-12-31,$42
2014-09-30,$39
2014-06-30,$33
2014-03-31,$50
2013-12-31,$68
2013-09-30,$36
2013-06-30,$28
2013-03-31,$44
2012-12-31,$40
2012-09-30,$36
2012-06-30,$26
2012-03-31,$32
2011-12-31,$43
2011-09-30,$25
2011-06-30,$16
2011-03-31,$48
2010-12-31,$36
2010-09-30,$25
2010-06-30,$14
2010-03-31,$45
2009-12-31,$25
2009-09-30,$24
2009-06-30,$11
2009-03-31,$29
