Fortune Brands Innovations Quarterly Net Income (Millions of US $),Fortune Brands Innovations Quarterly Net Income (Millions of US $).1
2024-06-30,$134
2024-03-31,$96
2023-12-31,$81
2023-09-30,$137
2023-06-30,$102
2023-03-31,$85
2022-12-31,$110
2022-09-30,$204
2022-06-30,$192
2022-03-31,$181
2021-12-31,$175
2021-09-30,$202
2021-06-30,$217
2021-03-31,$178
2020-12-31,$164
2020-09-30,$165
2020-06-30,$116
2020-03-31,$109
2019-12-31,$104
2019-09-30,$106
2019-06-30,$138
2019-03-31,$85
2018-12-31,$85
2018-09-30,$100
2018-06-30,$130
2018-03-31,$75
2017-12-31,$128
2017-09-30,$130
2017-06-30,$138
2017-03-31,$77
2016-12-31,$104
2016-09-30,$123
2016-06-30,$125
2016-03-31,$61
2015-12-31,$88
2015-09-30,$108
2015-06-30,$80
2015-03-31,$40
2014-12-31,$45
2014-09-30,$-21
2014-06-30,$93
2014-03-31,$41
2013-12-31,$64
2013-09-30,$64
2013-06-30,$64
2013-03-31,$37
2012-12-31,$18
2012-09-30,$40
2012-06-30,$48
2012-03-31,$13
2011-12-31,$-71
2011-09-30,$2
2011-06-30,$44
2011-03-31,$-11
2010-12-31,
2010-09-30,$27
2009-12-31,
