Murphy USA Quarterly Net Income (Millions of US $),Murphy USA Quarterly Net Income (Millions of US $).1
2024-06-30,$145
2024-03-31,$66
2023-12-31,$150
2023-09-30,$168
2023-06-30,$133
2023-03-31,$106
2022-12-31,$118
2022-09-30,$220
2022-06-30,$183
2022-03-31,$152
2021-12-31,$109
2021-09-30,$104
2021-06-30,$129
2021-03-31,$55
2020-12-31,$61
2020-09-30,$67
2020-06-30,$169
2020-03-31,$89
2019-12-31,$48
2019-09-30,$69
2019-06-30,$33
2019-03-31,$5
2018-12-31,$78
2018-09-30,$45
2018-06-30,$52
2018-03-31,$39
2017-12-31,$125
2017-09-30,$68
2017-06-30,$56
2017-03-31,$-3
2016-12-31,$44
2016-09-30,$45
2016-06-30,$46
2016-03-31,$86
2015-12-31,$67
2015-09-30,$61
2015-06-30,$26
2015-03-31,$23
2014-12-31,$98
2014-09-30,$63
2014-06-30,$73
2014-03-31,$10
2013-12-31,$94
2013-09-30,$42
2013-06-30,$78
2013-03-31,$22
2012-12-31,
2012-09-30,$11
2011-12-31,
