Travel + Leisure Quarterly Net Income (Millions of US $),Travel + Leisure Quarterly Net Income (Millions of US $).1
2024-06-30,$129
2024-03-31,$66
2023-12-31,$128
2023-09-30,$110
2023-06-30,$94
2023-03-31,$64
2022-12-31,$90
2022-09-30,$116
2022-06-30,$100
2022-03-31,$51
2021-12-31,$106
2021-09-30,$101
2021-06-30,$72
2021-03-31,$29
2020-12-31,$3
2020-09-30,$40
2020-06-30,$-164
2020-03-31,$-134
2019-12-31,$168
2019-09-30,$135
2019-06-30,$124
2019-03-31,$80
2018-12-31,$112
2018-09-30,$148
2018-06-30,$378
2018-03-31,$34
2017-12-31,$415
2017-09-30,$264
2017-06-30,$85
2017-03-31,$90
2016-12-31,$163
2016-09-30,$196
2016-06-30,$156
2016-03-31,$96
2015-12-31,$141
2015-09-30,$190
2015-06-30,$159
2015-03-31,$122
2014-12-31,$80
2014-09-30,$206
2014-06-30,$153
2014-03-31,$90
2013-12-31,$85
2013-09-30,$187
2013-06-30,$133
2013-03-31,$27
2012-12-31,$81
2012-09-30,$159
2012-06-30,$128
2012-03-31,$32
2011-12-31,$56
2011-09-30,$175
2011-06-30,$114
2011-03-31,$72
2010-12-31,$78
2010-09-30,$156
2010-06-30,$95
2010-03-31,$50
2009-12-31,$73
2009-09-30,$104
2009-06-30,$71
2009-03-31,$45
