Kennametal Quarterly Net Income (Millions of US $),Kennametal Quarterly Net Income (Millions of US $).1
2024-06-30,$37
2024-03-31,$19
2023-12-31,$23
2023-09-30,$30
2023-06-30,$36
2023-03-31,$32
2022-12-31,$22
2022-09-30,$28
2022-06-30,$42
2022-03-31,$35
2021-12-31,$31
2021-09-30,$36
2021-06-30,$35
2021-03-31,$22
2020-12-31,$19
2020-09-30,$-22
2020-06-30,$-9
2020-03-31,$3
2019-12-31,$-6
2019-09-30,$6
2019-06-30,$62
2019-03-31,$69
2018-12-31,$55
2018-09-30,$57
2018-06-30,$69
2018-03-31,$51
2017-12-31,$42
2017-09-30,$39
2017-06-30,$25
2017-03-31,$39
2016-12-31,$7
2016-09-30,$-22
2016-06-30,$-67
2016-03-31,$16
2015-12-31,$-169
2015-09-30,$-6
2015-06-30,$21
2015-03-31,$-46
2014-12-31,$-388
2014-09-30,$39
2014-06-30,$45
2014-03-31,$51
2013-12-31,$24
2013-09-30,$38
2013-06-30,$61
2013-03-31,$54
2012-12-31,$42
2012-09-30,$46
2012-06-30,$86
2012-03-31,$75
2011-12-31,$74
2011-09-30,$72
2011-06-30,$87
2011-03-31,$65
2010-12-31,$43
2010-09-30,$35
2010-06-30,$41
2010-03-31,$10
2009-12-31,$6
2009-09-30,$-10
2009-06-30,$-33
2009-03-31,$-138
