Kimbell Royalty Quarterly Net Income (Millions of US $),Kimbell Royalty Quarterly Net Income (Millions of US $).1
2024-06-30,$8
2024-03-31,$3
2023-12-31,$10
2023-09-30,$14
2023-06-30,$13
2023-03-31,$23
2022-12-31,$45
2022-09-30,$38
2022-06-30,$38
2022-03-31,$-9
2021-12-31,$20
2021-09-30,$2
2021-06-30,$1
2021-03-31,$-1
2020-12-31,$-62
2020-09-30,$-18
2020-06-30,$-48
2020-03-31,$-39
2019-12-31,$-51
2019-09-30,$-16
2019-06-30,$-12
2019-03-31,$-4
2018-12-31,$-2
2018-09-30,$-4
2018-06-30,$1
2018-03-31,$-53
2017-12-31,$1
2017-09-30,$0
2017-06-30,$0
2017-03-31,$-0
2016-12-31,$-0
2016-09-30,$-1
2016-06-30,$-1
2016-03-31,$-4
2015-12-31,
