Joint Stock Kaspi.kz Quarterly Net Income (Millions of US $),Joint Stock Kaspi.kz Quarterly Net Income (Millions of US $).1
2024-06-30,$525
2024-03-31,$483
2023-09-30,$485
2022-12-31,
