Corpay Quarterly Net Income (Millions of US $),Corpay Quarterly Net Income (Millions of US $).1
2024-06-30,$252
2024-03-31,$230
2023-12-31,$256
2023-09-30,$271
2023-06-30,$240
2023-03-31,$215
2022-12-31,$225
2022-09-30,$249
2022-06-30,$262
2022-03-31,$218
2021-12-31,$225
2021-09-30,$234
2021-06-30,$196
2021-03-31,$184
2020-12-31,$210
2020-09-30,$189
2020-06-30,$158
2020-03-31,$147
2019-12-31,$236
2019-09-30,$226
2019-06-30,$262
2019-03-31,$172
2018-12-31,$302
2018-09-30,$158
2018-06-30,$177
2018-03-31,$175
2017-12-31,$283
2017-09-30,$203
2017-06-30,$131
2017-03-31,$124
2016-12-31,$95
2016-09-30,$130
2016-06-30,$116
2016-03-31,$111
2015-12-31,$53
2015-09-30,$117
2015-06-30,$99
2015-03-31,$94
2014-12-31,$110
2014-09-30,$96
2014-06-30,$89
2014-03-31,$75
2013-12-31,$68
2013-09-30,$79
2013-06-30,$73
2013-03-31,$65
2012-12-31,$60
2012-09-30,$60
2012-06-30,$54
2012-03-31,$42
2011-12-31,$38
2011-09-30,$41
2011-06-30,$37
2011-03-31,$32
2010-12-31,$18
2010-09-30,$29
2010-06-30,$25
2010-03-31,$23
2009-12-31,
