SpringWorks Therapeutics Quarterly Net Income (Millions of US $),SpringWorks Therapeutics Quarterly Net Income (Millions of US $).1
2024-06-30,$-40
2024-03-31,$-87
2023-12-31,$-94
2023-09-30,$-79
2023-06-30,$-78
2023-03-31,$-73
2022-12-31,$-74
2022-09-30,$-72
2022-06-30,$-69
2022-03-31,$-62
2021-12-31,$-56
2021-09-30,$-41
2021-06-30,$-47
2021-03-31,$-30
2020-12-31,$11
2020-09-30,$-22
2020-06-30,$-20
2020-03-31,$-15
2019-12-31,$-16
2019-09-30,$-17
2019-06-30,$-14
2019-03-31,$-4
2018-12-31,
2018-09-30,$-5
