Allegiant Travel Quarterly Net Income (Millions of US $),Allegiant Travel Quarterly Net Income (Millions of US $).1
2024-06-30,$13
2024-03-31,$-1
2023-12-31,$-2
2023-09-30,$-26
2023-06-30,$85
2023-03-31,$56
2022-12-31,$52
2022-09-30,$-46
2022-06-30,$4
2022-03-31,$-8
2021-12-31,$8
2021-09-30,$39
2021-06-30,$95
2021-03-31,$7
2020-12-31,$-29
2020-09-30,$-29
2020-06-30,$-93
2020-03-31,$-33
2019-12-31,$63
2019-09-30,$43
2019-06-30,$70
2019-03-31,$56
2018-12-31,$40
2018-09-30,$15
2018-06-30,$49
2018-03-31,$55
2017-12-31,$81
2017-09-30,$23
2017-06-30,$49
2017-03-31,$42
2016-12-31,$42
2016-09-30,$45
2016-06-30,$60
2016-03-31,$72
2015-12-31,$57
2015-09-30,$44
2015-06-30,$54
2015-03-31,$65
2014-12-31,$5
2014-09-30,$14
2014-06-30,$33
2014-03-31,$34
2013-12-31,$17
2013-09-30,$17
2013-06-30,$26
2013-03-31,$32
2012-12-31,$15
2012-09-30,$17
2012-06-30,$25
2012-03-31,$22
2011-12-31,$11
2011-09-30,$9
2011-06-30,$12
2011-03-31,$17
2010-12-31,$12
2010-09-30,$13
2010-06-30,$18
2010-03-31,$23
2009-12-31,$11
2009-09-30,$14
2009-06-30,$24
2009-03-31,$28
