Lindsay Quarterly Net Income (Millions of US $),Lindsay Quarterly Net Income (Millions of US $).1
2024-05-31,$20
2024-02-29,$18
2023-11-30,$15
2023-08-31,$19
2023-05-31,$17
2023-02-28,$18
2022-11-30,$18
2022-08-31,$18
2022-05-31,$25
2022-02-28,$15
2021-11-30,$8
2021-08-31,$6
2021-05-31,$18
2021-02-28,$12
2020-11-30,$7
2020-08-31,$15
2020-05-31,$10
2020-02-29,$6
2019-11-30,$8
2019-08-31,$2
2019-05-31,$3
2019-02-28,$-3
2018-11-30,$1
2018-08-31,$5
2018-05-31,$10
2018-02-28,$2
2017-11-30,$3
2017-08-31,$6
2017-05-31,$11
2017-02-28,$5
2016-11-30,$1
2016-08-31,$8
2016-05-31,$10
2016-02-29,$-4
2015-11-30,$7
2015-08-31,$-3
2015-05-31,$13
2015-02-28,$9
2014-11-30,$8
2014-08-31,$11
2014-05-31,$16
2014-02-28,$13
2013-11-30,$10
2013-08-31,$10
2013-05-31,$26
2013-02-28,$19
2012-11-30,$15
2012-08-31,$9
2012-05-31,$19
2012-02-29,$13
2011-11-30,$3
2011-08-31,$6
2011-05-31,$15
2011-02-28,$11
2010-11-30,$4
2010-08-31,$6
2010-05-31,$6
2010-02-28,$6
2009-11-30,$7
2009-08-31,$2
2009-05-31,$5
2009-02-28,$0
