G-III Apparel Group Quarterly Net Income (Millions of US $),G-III Apparel Group Quarterly Net Income (Millions of US $).1
2024-07-31,$24
2024-04-30,$6
2024-01-31,$29
2023-10-31,$128
2023-07-31,$16
2023-04-30,$3
2023-01-31,$-261
2022-10-31,$61
2022-07-31,$36
2022-04-30,$31
2022-01-31,$48
2021-10-31,$107
2021-07-31,$19
2021-04-30,$26
2021-01-31,$15
2020-10-31,$63
2020-07-31,$-15
2020-04-30,$-39
2020-01-31,$25
2019-10-31,$95
2019-07-31,$11
2019-04-30,$12
2019-01-31,$24
2018-10-31,$94
2018-07-31,$10
2018-04-30,$10
2018-01-31,$-1
2017-10-31,$82
2017-07-31,$-9
2017-04-30,$-10
2017-01-31,$-20
2016-10-31,$71
2016-07-31,$-1
2016-04-30,$3
2016-01-31,$8
2015-10-31,$87
2015-07-31,$12
2015-04-30,$7
2015-01-31,$22
2014-10-31,$81
2014-07-31,$6
2014-04-30,$1
2014-01-31,$13
2013-10-31,$60
2013-07-31,$4
2013-04-30,$1
2013-01-31,$8
2012-10-31,$48
2012-07-31,$1
2012-04-30,$-1
2012-01-31,$5
2011-10-31,$44
2011-07-31,$2
2011-04-30,$-1
2011-01-31,$12
2010-10-31,$43
2010-07-31,$3
2010-04-30,$-1
2010-01-31,$9
2009-10-31,$32
2009-07-31,$-3
2009-04-30,$-7
2009-01-31,$-32
