Arcutis Biotherapeutics Quarterly Net Income (Millions of US $),Arcutis Biotherapeutics Quarterly Net Income (Millions of US $).1
2024-06-30,$-52
2024-03-31,$-35
2023-12-31,$-66
2023-09-30,$-45
2023-06-30,$-71
2023-03-31,$-80
2022-12-31,$-72
2022-09-30,$-108
2022-06-30,$-67
2022-03-31,$-64
2021-12-31,$-71
2021-09-30,$-57
2021-06-30,$-42
2021-03-31,$-36
2020-12-31,$-34
2020-09-30,$-38
2020-06-30,$-35
2020-03-31,$-28
2019-12-31,$-13
2019-09-30,$-14
2019-06-30,$-8
2019-03-31,$-7
2018-12-31,
2017-12-31,
