Kenon Holdings Quarterly Net Income (Millions of US $),Kenon Holdings Quarterly Net Income (Millions of US $).1
2024-06-30,$112
2024-03-31,$8
2023-12-31,$7
2023-09-30,$-205
2023-06-30,$-30
2023-03-31,$-8
2022-12-31,$-842
2022-09-30,$251
2022-06-30,$265
2022-03-31,$639
2021-12-31,$392
2021-09-30,$186
2021-06-30,$172
2021-03-31,$180
2020-12-31,$146
2020-09-30,$67
2020-06-30,$279
2020-03-31,$15
2019-12-31,$-21
2019-09-30,$28
2019-06-30,$-8
2019-03-31,$-12
2018-12-31,$-62
2018-09-30,$-20
2018-06-30,$-29
2018-03-31,$545
2017-12-31,$271
2017-09-30,$-23
2017-06-30,$9
2017-03-31,$-20
2016-12-31,$-49
2016-09-30,$-47
2016-06-30,$-280
2016-03-31,$-36
2015-12-31,$-106
2015-09-30,$165
2015-06-30,$11
2015-03-31,$3
2014-12-31,$-79
2014-09-30,$661
2014-06-30,$-90
2014-03-31,$-33
2013-12-31,
2012-12-31,
